,Dataset,dataset_sufix,query,example_result,duration
0,simm_risk_data_eqderiv,20200723t1858,"SELECT COUNT(*) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417'",[{'VarCharValue': '16689328'}],0 days 00:00:04.625982000
1,simm_risk_data_eqderiv,20200723t1858,"SELECT risktype, amount FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE amount>10000 AND tabledate='20200417'","[{'VarCharValue': 'PV'}, {'VarCharValue': '17611.12'}]",0 days 00:00:23.245386000
2,simm_risk_data_eqderiv,20200723t1858,"SELECT dbinserttime, SUM(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY dbinserttime","[{'VarCharValue': '20200723t192140.455834z'}, {'VarCharValue': '5.216214686069834E10'}]",0 days 00:00:04.417182000
3,simm_risk_data_eqderiv,20200723t1858,"SELECT distinct(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417'",[{'VarCharValue': '8271.12'}],0 days 00:00:04.513450000
4,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY amount","[{'VarCharValue': '61898.12'}, {'VarCharValue': '208'}]",0 days 00:00:03.244873000
5,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY amount HAVING count(*)>1","[{'VarCharValue': '33432.12'}, {'VarCharValue': '224'}]",0 days 00:00:03.108977000
6,simm_risk_data_eqderiv,20200723t1858,"SELECT COUNT(*) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858""",[{'VarCharValue': '22947826'}],0 days 00:00:01.863997000
7,simm_risk_data_eqderiv,20200723t1858,"SELECT risktype, amount FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE amount>10000","[{'VarCharValue': 'PV'}, {'VarCharValue': '17611.12'}]",0 days 00:00:29.235172000
8,simm_risk_data_eqderiv,20200723t1858,"SELECT dbinserttime, SUM(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY dbinserttime","[{'VarCharValue': '20200723t192440.957993z'}, {'VarCharValue': '5.216214686069834E10'}]",0 days 00:00:04.195249000
9,simm_risk_data_eqderiv,20200723t1858,"SELECT distinct(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858""",[{'VarCharValue': '33432.12'}],0 days 00:00:04.384654000
10,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY amount","[{'VarCharValue': '33432.12'}, {'VarCharValue': '266'}]",0 days 00:00:03.107704000
11,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY amount HAVING count(*)>1","[{'VarCharValue': '33432.12'}, {'VarCharValue': '266'}]",0 days 00:00:03.148696000
