,Dataset,dataset_sufix,query,example_result,duration
0,simm_risk_data_eqderiv,20200723t1858,"SELECT COUNT(*) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417'",[{'VarCharValue': '16689328'}],0 days 00:00:05.059713000
1,simm_risk_data_eqderiv,20200723t1858,"SELECT risktype, amount FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE amount>10000 AND tabledate='20200417'","[{'VarCharValue': 'PV'}, {'VarCharValue': '17611.12'}]",0 days 00:00:25.614527000
2,simm_risk_data_eqderiv,20200723t1858,"SELECT dbinserttime, SUM(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY dbinserttime","[{'VarCharValue': '20200723t200631.633380z'}, {'VarCharValue': '5.216214686069834E10'}]",0 days 00:00:05.116742000
3,simm_risk_data_eqderiv,20200723t1858,"SELECT distinct(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417'",[{'VarCharValue': '61898.12'}],0 days 00:00:05.407384000
4,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY amount","[{'VarCharValue': '8271.12'}, {'VarCharValue': '240'}]",0 days 00:00:04.099069000
5,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY amount HAVING count(*)>1","[{'VarCharValue': '61898.12'}, {'VarCharValue': '208'}]",0 days 00:00:03.888397000
6,simm_risk_data_eqderiv,20200723t1858,"SELECT COUNT(*) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858""",[{'VarCharValue': '29206324'}],0 days 00:00:02.080754000
7,simm_risk_data_eqderiv,20200723t1858,"SELECT risktype, amount FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE amount>10000","[{'VarCharValue': 'PV'}, {'VarCharValue': '17611.12'}]",0 days 00:00:39.589416000
8,simm_risk_data_eqderiv,20200723t1858,"SELECT dbinserttime, SUM(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY dbinserttime","[{'VarCharValue': '20200723t192256.044323z'}, {'VarCharValue': '5.216214686069834E10'}]",0 days 00:00:05.047414000
9,simm_risk_data_eqderiv,20200723t1858,"SELECT distinct(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858""",[{'VarCharValue': '56723.12'}],0 days 00:00:04.249843000
10,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY amount","[{'VarCharValue': '58915.12'}, {'VarCharValue': '332'}]",0 days 00:00:04.868678000
11,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY amount HAVING count(*)>1","[{'VarCharValue': '33432.12'}, {'VarCharValue': '308'}]",0 days 00:00:04.380132000
