,Dataset,dataset_sufix,use_dict_encoding,compression,partition_cols,load_id,Dataset size,duration
0,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50000,700,0 days 00:00:01.359371000
1,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50001,700,0 days 00:00:01.291660000
2,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50002,700,0 days 00:00:01.214618000
3,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50003,700,0 days 00:00:01.200249000
4,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50004,800,0 days 00:00:01.263832000
5,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50005,800,0 days 00:00:01.610063000
6,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50006,800,0 days 00:00:01.205265000
7,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50007,800,0 days 00:00:01.233985000
8,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50008,800,0 days 00:00:01.998097000
9,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50009,800,0 days 00:00:01.642269000
10,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50010,800,0 days 00:00:01.479252000
11,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50011,800,0 days 00:00:01.268724000
12,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50012,800,0 days 00:00:01.790953000
13,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50013,800,0 days 00:00:01.955710000
14,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50014,900,0 days 00:00:01.799637000
15,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50015,900,0 days 00:00:01.272746000
16,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50016,900,0 days 00:00:01.389297000
17,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50017,900,0 days 00:00:01.266224000
18,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50018,900,0 days 00:00:01.155023000
19,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50019,900,0 days 00:00:01.239864000
20,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50020,900,0 days 00:00:01.288996000
21,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50021,900,0 days 00:00:01.353458000
22,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50022,900,0 days 00:00:01.348024000
23,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50023,900,0 days 00:00:01.417908000
24,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50024,900,0 days 00:00:01.196130000
25,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50025,900,0 days 00:00:01.171393000
26,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50026,900,0 days 00:00:01.339355000
27,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50027,900,0 days 00:00:01.247312000
28,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50028,900,0 days 00:00:01.255312000
29,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50029,900,0 days 00:00:01.197275000
30,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50030,900,0 days 00:00:01.222160000
31,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50031,1000,0 days 00:00:01.470107000
32,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50032,1000,0 days 00:00:01.451267000
33,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50033,1000,0 days 00:00:01.973294000
34,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50034,1000,0 days 00:00:01.630267000
35,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50035,1000,0 days 00:00:01.360471000
36,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50036,1000,0 days 00:00:01.151734000
37,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50037,1000,0 days 00:00:01.268390000
38,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50038,1000,0 days 00:00:01.199967000
39,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50039,1000,0 days 00:00:01.663085000
40,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50040,1000,0 days 00:00:01.187175000
41,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50041,1000,0 days 00:00:01.253329000
42,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50042,1000,0 days 00:00:01.296877000
43,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50043,1000,0 days 00:00:01.208360000
44,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50044,1000,0 days 00:00:01.191235000
45,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50045,1000,0 days 00:00:01.222580000
46,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50046,1000,0 days 00:00:01.216227000
47,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50047,1000,0 days 00:00:01.172023000
48,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50048,1000,0 days 00:00:01.853185000
49,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50049,1000,0 days 00:00:01.164927000
50,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50050,1000,0 days 00:00:01.229421000
51,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50051,1000,0 days 00:00:01.168485000
52,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50052,1000,0 days 00:00:01.250720000
53,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50053,1000,0 days 00:00:01.293183000
54,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50054,1000,0 days 00:00:01.192743000
55,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50055,1000,0 days 00:00:01.165640000
56,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50056,1000,0 days 00:00:01.572392000
57,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50057,1000,0 days 00:00:01.959019000
58,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50058,1000,0 days 00:00:02.527513000
59,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50059,1000,0 days 00:00:01.560318000
60,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50060,1000,0 days 00:00:01.378002000
61,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50061,1000,0 days 00:00:01.247938000
62,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50062,1000,0 days 00:00:01.292674000
63,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50063,1000,0 days 00:00:01.325534000
64,simm_risk_data_eqderiv,20200722t1731,true,snappy,"['tabledate', 'atomicload']",50064,1000,0 days 00:00:01.195724000
