,Dataset,dataset_sufix,use_dict_encoding,compression,partition_cols,load_id,Dataset size,duration
0,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",0,80,0 days 00:00:02.842199000
1,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",1,6,0 days 00:00:01.071433000
2,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",2,2,0 days 00:00:01.074038000
3,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",3,93,0 days 00:00:01.028855000
4,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",4,29,0 days 00:00:01.040728000
5,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",5,74,0 days 00:00:01.091494000
6,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",6,1,0 days 00:00:01.084046000
7,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",7,31,0 days 00:00:01.133133000
8,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",8,66,0 days 00:00:00.996051000
9,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",9,14,0 days 00:00:01.177032000
10,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",10,149,0 days 00:00:01.516152000
11,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",11,119,0 days 00:00:01.066752000
12,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",12,2,0 days 00:00:01.043459000
13,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",13,2,0 days 00:00:01.040206000
14,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",14,40,0 days 00:00:01.136140000
15,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",15,143,0 days 00:00:01.109933000
16,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",16,25,0 days 00:00:01.104989000
17,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",17,13,0 days 00:00:01.060669000
18,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",18,28,0 days 00:00:01.013366000
19,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",19,2,0 days 00:00:01.254088000
20,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",20,13,0 days 00:00:01.311791000
21,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",21,30,0 days 00:00:01.047476000
22,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",22,35,0 days 00:00:01.053755000
23,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",23,14,0 days 00:00:01.129734000
24,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",24,14,0 days 00:00:01.779069000
25,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",25,13,0 days 00:00:01.025570000
26,simm_risk_data_eqderiv,20200722t1548,true,snappy,"['tabledate', 'atomicload']",26,32,0 days 00:00:01.092120000
