,Dataset,dataset_sufix,query,example_result,duration
0,simm_risk_data_eqderiv,20200723t2307,"SELECT COUNT(*) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t2307""",[{'VarCharValue': '1230837'}],0 days 00:00:08.390098000
1,simm_risk_data_eqderiv,20200723t2307,"SELECT * FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t2307"" WHERE amount>10000","[{'VarCharValue': '2020-04-17 00:00:00.000'}, {'VarCharValue': 'PV'}, {}, {}, {}, {}, {'VarCharValue': '17611.12'}, {'VarCharValue': 'USD'}, {'VarCharValue': '12345.12345'}, {'VarCharValue': 'overwrite'}, {}, {}, {'VarCharValue': 'ABCD123456ABCDEFG'}, {'VarCharValue': 'Eq Forward Div Pass-Thru'}, {'VarCharValue': 'ABCDEFG USD 1Jul20 LABC123 0'}, {'VarCharValue': '-12345'}, {'VarCharValue': 'USD'}, {'VarCharValue': '1Jul2020'}, {'VarCharValue': '1AAA'}, {'VarCharValue': '1234567'}, {'VarCharValue': 'AB NYC Eq SP Group'}, {'VarCharValue': '25Jun2020'}, {}, {'VarCharValue': '0'}, {'VarCharValue': '0'}, {'VarCharValue': 'Both'}, {'VarCharValue': 'Both'}, {'VarCharValue': '1'}, {'VarCharValue': 'Prod'}, {'VarCharValue': 'Archive'}, {}, {'VarCharValue': 'p2sdsim:aljfwiefjawowoejf'}, {'VarCharValue': 'simmdbprod/vlf/maint/auto_clone_table2filer~prodfjwoeifjoiwifjwoijeffjawej'}, {'VarCharValue': 'Sun 28Jun20 07:01:22.317 pm'}, {'VarCharValue': '20200723t232049.170136z'}, {'VarCharValue': '20200417'}, {'VarCharValue': 'atomicload1277'}]",0 days 00:00:24.587928000
2,simm_risk_data_eqderiv,20200723t2307,"SELECT risktype, amount FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t2307"" WHERE amount>10000","[{'VarCharValue': 'PV'}, {'VarCharValue': '17611.12'}]",0 days 00:00:06.127839000
3,simm_risk_data_eqderiv,20200723t2307,"SELECT dbinserttime, SUM(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t2307"" GROUP BY dbinserttime","[{'VarCharValue': '20200723t231533.345808z'}, {'VarCharValue': '1149620.7600000002'}]",0 days 00:00:04.415143000
