,Dataset,dataset_sufix,query,example_result,duration
0,simm_risk_data_eqderiv,20200722t1548,"SELECT COUNT(*) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200722t1548""",[{'VarCharValue': '20861674'}],0 days 00:00:29.480797000
1,simm_risk_data_eqderiv,20200722t1548,"SELECT * FROM ""simm_poc"".""simm_risk_data_eqderiv_20200722t1548"" WHERE amount>10000","[{'VarCharValue': '2020-04-17 00:00:00.000'}, {'VarCharValue': 'PV'}, {}, {}, {}, {}, {'VarCharValue': '17611.12'}, {'VarCharValue': 'USD'}, {'VarCharValue': '12345.12345'}, {'VarCharValue': 'overwrite'}, {}, {}, {'VarCharValue': 'ABCD123456ABCDEFG'}, {'VarCharValue': 'Eq Forward Div Pass-Thru'}, {'VarCharValue': 'ABCDEFG USD 1Jul20 LABC123 0'}, {'VarCharValue': '-12345'}, {'VarCharValue': 'USD'}, {'VarCharValue': '1Jul2020'}, {'VarCharValue': '1AAA'}, {'VarCharValue': '1234567'}, {'VarCharValue': 'AB NYC Eq SP Group'}, {'VarCharValue': '25Jun2020'}, {}, {'VarCharValue': '0'}, {'VarCharValue': '0'}, {'VarCharValue': 'Both'}, {'VarCharValue': 'Both'}, {'VarCharValue': '1'}, {'VarCharValue': 'Prod'}, {'VarCharValue': 'Archive'}, {}, {'VarCharValue': 'p2sdsim:aljfwiefjawowoejf'}, {'VarCharValue': 'simmdbprod/vlf/maint/auto_clone_table2filer~prodfjwoeifjoiwifjwoijeffjawej'}, {'VarCharValue': 'Sun 28Jun20 07:01:22.317 pm'}, {'VarCharValue': '20200723t111242.148079z'}, {'VarCharValue': '20200417'}, {'VarCharValue': 'atomicload511'}]",0 days 00:04:40.389422000
2,simm_risk_data_eqderiv,20200722t1548,"SELECT risktype, amount FROM ""simm_poc"".""simm_risk_data_eqderiv_20200722t1548"" WHERE amount>10000","[{'VarCharValue': 'PV'}, {'VarCharValue': '17611.12'}]",0 days 00:00:36.084678000
3,simm_risk_data_eqderiv,20200722t1548,"SELECT dbinserttime, SUM(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200722t1548"" GROUP BY dbinserttime","[{'VarCharValue': '20200723t112703.088335z'}, {'VarCharValue': '6621357.000000011'}]",0 days 00:00:29.056083000
